"REF_DATE","GEO","DGUID","Statistical Area Classification (SAC)","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","All census subdivisions","Population, 2021","","0","units","0","","1.1.1","36991981","","","","0"
"2021","Canada","2021A000011124","All census subdivisions","Total private dwellings, 2021","","0","units","0","","1.1.2","16284235","","","","0"
"2021","Canada","2021A000011124","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.1.3","14978941","","","","0"
"2021","Canada","2021A000011124","Within CMAs","Population, 2021","","0","units","0","","1.2.1","27281119","","","","0"
"2021","Canada","2021A000011124","Within CMAs","Total private dwellings, 2021","","0","units","0","","1.2.2","11499050","","","","0"
"2021","Canada","2021A000011124","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.2.3","10874816","","","","0"
"2021","Canada","2021A000011124","Within CAs","Population, 2021","","0","units","0","","1.3.1","3753167","","","","0"
"2021","Canada","2021A000011124","Within CAs","Total private dwellings, 2021","","0","units","0","","1.3.2","1749477","","","","0"
"2021","Canada","2021A000011124","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.3.3","1618157","","","","0"
"2021","Canada","2021A000011124","Within tracted CAs","Population, 2021","","0","units","0","","1.4.1","700716","","","","0"
"2021","Canada","2021A000011124","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","1.4.2","320950","","","","0"
"2021","Canada","2021A000011124","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.4.3","297390","","","","0"
"2021","Canada","2021A000011124","Within non-tracted CAs","Population, 2021","","0","units","0","","1.5.1","3052451","","","","0"
"2021","Canada","2021A000011124","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","1.5.2","1428527","","","","0"
"2021","Canada","2021A000011124","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.5.3","1320767","","","","0"
"2021","Canada","2021A000011124","Outside CMAs/CAs","Population, 2021","","0","units","0","","1.6.1","5957695","","","","0"
"2021","Canada","2021A000011124","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","1.6.2","3035708","","","","0"
"2021","Canada","2021A000011124","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.6.3","2485968","","","","0"
"2021","Canada","2021A000011124","Strongly influenced","Population, 2021","","0","units","0","","1.7.1","2019615","","","","0"
"2021","Canada","2021A000011124","Strongly influenced","Total private dwellings, 2021","","0","units","0","","1.7.2","976016","","","","0"
"2021","Canada","2021A000011124","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.7.3","828079","","","","0"
"2021","Canada","2021A000011124","Moderately influenced","Population, 2021","","0","units","0","","1.8.1","2240520","","","","0"
"2021","Canada","2021A000011124","Moderately influenced","Total private dwellings, 2021","","0","units","0","","1.8.2","1234341","","","","0"
"2021","Canada","2021A000011124","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.8.3","969677","","","","0"
"2021","Canada","2021A000011124","Weakly influenced","Population, 2021","","0","units","0","","1.9.1","1417959","","","","0"
"2021","Canada","2021A000011124","Weakly influenced","Total private dwellings, 2021","","0","units","0","","1.9.2","689042","","","","0"
"2021","Canada","2021A000011124","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.9.3","587745","","","","0"
"2021","Canada","2021A000011124","Not influenced","Population, 2021","","0","units","0","","1.10.1","213694","","","","0"
"2021","Canada","2021A000011124","Not influenced","Total private dwellings, 2021","","0","units","0","","1.10.2","109472","","","","0"
"2021","Canada","2021A000011124","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.10.3","78858","","","","0"
"2021","Canada","2021A000011124","Territories","Population, 2021","","0","units","0","","1.11.1","65907","","","","0"
"2021","Canada","2021A000011124","Territories","Total private dwellings, 2021","","0","units","0","","1.11.2","26837","","","","0"
"2021","Canada","2021A000011124","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.11.3","21609","","","","0"
